English,Medumba
"Yes, for at least three reasons:","Ñ, num tshu tad:"
"Honest history. Secular historians seem quick to cover over the defeats of their people. In contrast Bible writers candidly recorded both their personal failings and those of their nation.""","Ne tshob nenùne. Ghasoñ tshô njù num lem nukebwô tshobe. Ndaʼndù ghakide Ñwaʼni Nsi ke ntshob mub fan nu mba tse ben tshobe."""
"Numerous other Bible prophecies were also fulfilled down to the smallest detail. But is that not what we would expect of the Word of God?""","Ñwaʼni Nsi ya tshob ntshob ndamnjù yame a bumde. A ke ju ze be tshwèt bib Ñwaʼni ze a fe Nsi ké? """
What Is the Kingdom of God?,Nufen Nsi be a ke?
Would you say it is,Be o tshob mbe a
something within your heart?,ju ntùm ntù o ké?
a figure of speech?,taʼ mat ne tshob ké?
a government in heaven?,taʼ nufen mve kamànyam ké?
What the bible says,Ñwaʼni nsi tshob ndù
The God of heaven will set up a kingdom that will never be destroyed.,Nsi kamànyam nsi tshoʼ moʼ nufen ze a tswe matmat là.
A son has been given to us; and the government will rest on his shoulder.,Bo bwe taʼ mén mandum be. Nu netô njù bʼa ntùm mbu mi.
A righteous government that can benefit you personally.,Ze nufen bʼa num ze be mebwô.
"In a coming new world, life in perfect health and happiness.",Yôg bo ntswe mebwô ntùm njù nswe.
"Jesus showed what God’s Kingdom will accomplish. Jesus taught his followers to pray for God’s Kingdom to come and for God’s will to be done on earth. ""","Yésu laʼde tshu tse Nufen Nsi ghù là. Yésu tswide be ne ke leʼde Nsi ndù: ghù nufen so seʼe ghù yo nekô bumde mba mfe kamànyam mba num nsitshaʼa."""
Jesus demonstrated how that prayer will be answered.,Yésu lo laʼde mba yen leʼde là nsi bumde là.
"We see those very conditions today. So we can be confident that God’s Kingdom will soon bring an end to all such problems.""","Mba be tshwét njen tshen ngeʼ là sènni là, be bam mbe Nufen Nsi ghepte num ne seʼ biagde ngeʼ."""
To think about,Na' nkwade
What will life be like under the rule of God’s Kingdom?,Yôg aʼ be a ndùke ngelañ Nufen Nsi seʼ a?
The Bible answers that question at,Ñwaʼni Nsi bunde yen bette li ntùm
"Throughout Jesus’ ministry, he taught about God’s Kingdom more than any other subject. For centuries his followers have prayed for that Kingdom to come.""","Ngelañ a nke nsoñ ntshob Nsi num nsitshaʼ là, Yésu naʼ tshob mfà num Nufen Nsi ntshùa num mba zit ju lo. Ntùm nguʼnjù yàme ghaziʼde nu i leʼde mbe yen Nufen nà seʼe."""
"The Bible is providing answers to life’s big questions for millions of people around the world. Would you like to be one of them?""","Mbeʼ yàm mbètte ndùb tse benntùn ghù ntùm njù là, ghù mbùnde mi ntùm Ñwaʼni Nsi. O kô nebe taʼ mèn netèt bo ké?"""
Remove off the old personality with its practices.,Bin sô njwèn mèn bo mfaʼ mi num bin.
Living Up to Our Name,Be fà nkuʼni lén be tshwèt nket là
What was your life like before you began studying the Bible?,Ke lèn yôg o naʼ ngù kà ntoʼde neziʼde Ñwaʼni Nsi à?
What did you discover as you studied the Bible?,Yu ziʼde Ñwaʼni Nsi ywimdʼo nejuʼ à ke?
"what does Jehovah want us to do, and what will we discuss in this article?",Yaweh Nsi tshwèt mbètte mbe be ghù à ke?
What is the old personality?,Njwèn mèn bʼa ke?
How does a person act when he is controlled by “the old personality”?,Mènntùn zʼa keʼ yoñ “nsô njwèn mèn” num i là nke ngù à ndùke?
What reasonable view should we have when it comes to stripping off the old personality?,Mènntùn kuʼni nesô njwèn mèn num i ké?
"Why does Jehovah urge us to strip off the wrong thinking and bad habits of the old personality?""","Numke Yaweh Nsi kô mbe be ghuaʼ nkwade bo ngùninu tsʼa ghù ntamde bo njwèn mèn à?"""
what choices do we have?,a bètte be tshoʼ neghù à ke?
HOW CAN YOU “STRIP OFF” THE OLD PERSONALITY?,BE KUʼNI “NESÔ” NJWÈN MÈN NUM BEN À NDÙKE?
What help can we count on to avoid wrong thinking and bad habits?,Tsit tshu bèn nkuʼni neywimde ben neghuaʼ nkwade bo ngùninu kebwô à?
What can God’s Word help you to do?,Be Ntshob Nsi ywimdʼo à ndùke?
What did you learn from Elie’s experience?,Tshô Eli nke ntswidʼo à ke?
What things does Jehovah hate?,Yaweh Nsi nke mbàn à tsit tshu à?
What does it mean to “abhor what is wicked”?,“Nebàn nukebwô” nke mbagdʼà mbe ke?
Why must we safeguard our thinking?,Numke a mbètte be béb nkwade ben à?
"What does our speech reveal, and what questions should we answer?","Ntshob ben nke ndaʼdʼà ke, be ghù nesiañde nu mfʼà num tsit mbètte à?"
What does it mean to nail our old personality “to the stake”?,Nekwémde zebe njwèn mèn num “taʼtù” nke mbagdʼà mbe ke?
Why must you be determined to continue fighting fleshly weaknesses?,Numke a mbètte o nèn mbwe nezwe bo tsho mat kebwô ke bot mbu à?
What did you find encouraging about Nabiha’s experience?,Ke zʼa tshwèt nso kù num o num tshô Nabiha à?
YOU CAN QUALIFY FOR BAPTISM!,BʼO LOʼ MFIʼ NEGHÙ NYUʼNTSE!
what have many of God’s servants been able to do?,ke ze bwoñ ghafaʼ Nsi naʼ nkuʼni neghù à?
What will the next article discuss?,Ke ze be yen ntùm ziʼde a mbwe à?
Please Hear My Prayer,Netshoʼo juʼ yàm leʼde
Print,Neféle
Share,Ghapte
